team,competition,champ_prob
Oklahoma City Thunder,2025-26 NBA season,0.4166666667
Denver Nuggets,2025-26 NBA season,0.1333333333
Houston Rockets,2025-26 NBA season,0.1081081081
Los Angeles Lakers,2025-26 NBA season,0.1
Cleveland Cavaliers,2025-26 NBA season,0.06666666667
New York Knicks,2025-26 NBA season,0.05882352941
Golden State Warriors,2025-26 NBA season,0.05555555556
Detroit Pistons,2025-26 NBA season,0.03846153846
Minnesota Timberwolves,2025-26 NBA season,0.02941176471
San Antonio Spurs,2025-26 NBA season,0.02941176471
Orlando Magic,2025-26 NBA season,0.0243902439
Boston Celtics,2025-26 NBA season,0.01960784314
Miami Heat,2025-26 NBA season,0.01785714286
Atlanta Hawks,2025-26 NBA season,0.01639344262
Philadelphia 76ers,2025-26 NBA season,0.01639344262
Toronto Raptors,2025-26 NBA season,0.01315789474
Los Angeles Clippers,2025-26 NBA season,0.01234567901
Dallas Mavericks,2025-26 NBA season,0.004975124378
Milwaukee Bucks,2025-26 NBA season,0.004975124378
Chicago Bulls,2025-26 NBA season,0.003984063745
Phoenix Suns,2025-26 NBA season,0.001996007984
Portland Trail Blazers,2025-26 NBA season,0.001248439451
Brooklyn Nets,2025-26 NBA season,0.000999000999
Charlotte Hornets,2025-26 NBA season,0.000999000999
Indiana Pacers,2025-26 NBA season,0.000999000999
Memphis Grizzlies,2025-26 NBA season,0.000999000999
New Orleans Pelicans,2025-26 NBA season,0.000999000999
Sacramento Kings,2025-26 NBA season,0.000999000999
Utah Jazz,2025-26 NBA season,0.000999000999
Washington Wizards,2025-26 NBA season,0.000999000999
Las Vegas Aces,2026 WNBA season,0.2222222222
Minnesota Lynx,2026 WNBA season,0.2222222222
Indiana Fever,2026 WNBA season,0.2040816327
New York Liberty,2026 WNBA season,0.1739130435
Phoenix Mercury,2026 WNBA season,0.1052631579
Atlanta Dream,2026 WNBA season,0.05882352941
Seattle Storm,2026 WNBA season,0.05555555556
